"","Var1","Var2","value","pvalue","pvalue_cor","star","value2plot","conv_ttype_1","conv_ttype_2"
"83","MEGLU3","MEGLU6",-1.08722674881388,0.276936612141699,0.87992861900656,"",NA,"SCEXC3","SCEXC6"
"84","MEGLU4","MEGLU6",1.2226991043593,0.221443365399526,0.87992861900656,"",NA,"SCEXC4","SCEXC6"
"85","MEGLU5","MEGLU6",1.3037030331577,0.192334854857426,0.87992861900656,"",NA,"SCEXC5","SCEXC6"
"86","MEGLU6","MEGLU6",1.63358783826594,0.102345423182264,0.87992861900656,"",NA,"SCEXC6","SCEXC6"
"87","MEINH2","MEGLU6",0.131510989409707,0.895371093785344,0.977693456590577,"",NA,"SCINH1","SCEXC6"
"88","MEINH3","MEGLU6",0.547201928756062,0.584240011242732,0.977693456590577,"",NA,"SCINH2","SCEXC6"
"89","MEINH5","MEGLU6",-0.531264264014739,0.595235665580798,0.977693456590577,"",NA,"SCINH3","SCEXC6"
"90","MEINH6","MEGLU6",0.546496035161064,0.584725012381593,0.977693456590577,"",NA,"SCINH4","SCEXC6"
"91","MEINH7","MEGLU6",1.47658423616697,0.139787119881672,0.87992861900656,"",NA,"SCINH5","SCEXC6"
"92","MEINH8","MEGLU6",-0.776106636252634,0.437686025664589,0.941576660253234,"",NA,"SCINH6","SCEXC6"
"93","MEINH9","MEGLU6",-0.911430569191028,0.362068552926433,0.87992861900656,"",NA,"SCINH7","SCEXC6"
"94","MEINH10","MEGLU6",-0.41980254543809,0.674629705238945,0.977693456590577,"",NA,"SCINH8","SCEXC6"
"95","MEINH11","MEGLU6",1.02436588586876,0.305662488750447,0.87992861900656,"",NA,"SCINH9","SCEXC6"
"96","MEINH12","MEGLU6",-0.403198976719966,0.686801852410301,0.977693456590577,"",NA,"SCINH10","SCEXC6"
"97","MEGLU1","MEINH2",-0.86251171007496,0.388405991983364,0.87992861900656,"",NA,"SCEXC1","SCINH1"
"98","MEGLU2","MEINH2",-0.879401711468604,0.379183504485716,0.87992861900656,"",NA,"SCEXC2","SCINH1"
"99","MEGLU3","MEINH2",-0.17049061243849,0.864624316475863,0.977693456590577,"",NA,"SCEXC3","SCINH1"
"100","MEGLU4","MEINH2",-0.296848945103129,0.76658183594354,0.977693456590577,"",NA,"SCEXC4","SCINH1"
"101","MEGLU5","MEINH2",0.0688732360385226,0.945090522465059,0.977693456590577,"",NA,"SCEXC5","SCINH1"
"102","MEGLU6","MEINH2",0.131510989409707,0.895371093785344,0.977693456590577,"",NA,"SCEXC6","SCINH1"
"103","MEINH2","MEINH2",-0.683029582354323,0.494588149855954,0.973958202793263,"",NA,"SCINH1","SCINH1"
"104","MEINH3","MEINH2",-0.164168568545905,0.869598444030428,0.977693456590577,"",NA,"SCINH2","SCINH1"
"105","MEINH5","MEINH2",0.127729178435531,0.89836329816644,0.977693456590577,"",NA,"SCINH3","SCINH1"
"106","MEINH6","MEINH2",-0.460573915086493,0.645104329790628,0.977693456590577,"",NA,"SCINH4","SCINH1"
"107","MEINH7","MEINH2",-0.00619205296099472,0.995059488113891,0.995059488113891,"",NA,"SCINH5","SCINH1"
"108","MEINH8","MEINH2",-0.867016084510084,0.385933196818708,0.87992861900656,"",NA,"SCINH6","SCINH1"
"109","MEINH9","MEINH2",1.45744105014316,0.144994672624888,0.87992861900656,"",NA,"SCINH7","SCINH1"
"110","MEINH10","MEINH2",0.323617917142398,0.746227321443805,0.977693456590577,"",NA,"SCINH8","SCINH1"
"111","MEINH11","MEINH2",0.469670343520522,0.638590559093794,0.977693456590577,"",NA,"SCINH9","SCINH1"
