"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Mxd3",0.0080631851024011,0.546785892722522,0.118,0.017,1,"MEGLU4","Mxd3"
"2410004P03Rik",0.0080631851024011,0.346087559516015,0.118,0.017,1,"MEGLU4","2410004P03Rik"
"Hs3st1",0.00807859661972459,0.861687146451618,0.588,0.322,1,"MEGLU4","Hs3st1"
"Enox1",0.0080942828735947,0.431002344328661,1,0.915,1,"MEGLU4","Enox1"
"Gm19605",0.00812761918112233,0.637019608032008,0.471,0.174,1,"MEGLU4","Gm19605"
"Ajap1",0.00813115151900956,0.708243519264713,0.765,0.564,1,"MEGLU4","Ajap1"
"Nipa2",0.00814170876708299,0.789265490264579,0.588,0.331,1,"MEGLU4","Nipa2"
"Slc25a16",0.00814435546519966,0.615109779780539,0.765,0.449,1,"MEGLU4","Slc25a16"
"Gm20548",0.00817088413384442,0.633901494099936,0.235,0.059,1,"MEGLU4","Gm20548"
"Abhd8",0.00817846975442666,0.346590977185659,0.941,0.814,1,"MEGLU4","Abhd8"
"Wdr7",0.00819068178168295,0.414310358753397,0.941,0.835,1,"MEGLU4","Wdr7"
"Csmd2",0.00819802798826499,0.463122244261699,1,0.856,1,"MEGLU4","Csmd2"
"Tsr1",0.00823433639866651,0.689720653841152,0.765,0.449,1,"MEGLU4","Tsr1"
"AU021063",0.00825643885350268,1.14354840945974,0.176,0.038,1,"MEGLU4","AU021063"
"Igfals",0.00825643885350268,0.849289754958618,0.176,0.038,1,"MEGLU4","Igfals"
"Gm14223.1",0.00825643885350268,0.582894808126855,0.176,0.038,1,"MEGLU4","Gm14223"
"Gm49359",0.0082588124685709,0.696572712634074,0.294,0.093,1,"MEGLU4","Gm49359"
"Tmem256",0.00826102240469903,0.427948542012202,0.941,0.72,1,"MEGLU4","Tmem256"
"Slc16a10",0.00826808689905544,0.927528533426637,0.529,0.292,1,"MEGLU4","Slc16a10"
"Gm45822.1",0.00827751440764676,0.856911025823925,0.294,0.089,1,"MEGLU4","Gm45822"
"Spdya",0.00827751440764676,0.552701090618695,0.294,0.089,1,"MEGLU4","Spdya"
"Egr1",0.00833830754637224,0.340388315421121,0.941,0.826,1,"MEGLU4","Egr1"
"Ngp",0.00835871636354131,0.692471770664932,0.235,0.059,1,"MEGLU4","Ngp"
"1700080N15Rik.1",0.00836984024256085,0.77374966056471,0.353,0.119,1,"MEGLU4","1700080N15Rik"
"Itgb1bp2",0.00837925569168542,0.809418799079701,0.118,0.017,1,"MEGLU4","Itgb1bp2"
"Gm20492.1",0.00837925569168542,0.738461408561632,0.118,0.017,1,"MEGLU4","Gm20492"
"BC106179",0.00837925569168542,0.699604958680581,0.118,0.017,1,"MEGLU4","BC106179"
"Retn",0.00837925569168542,0.670719709736409,0.118,0.017,1,"MEGLU4","Retn"
"Jchain.1",0.00837925569168542,0.670236228201504,0.118,0.017,1,"MEGLU4","Jchain"
"Rps15a-ps3",0.00837925569168542,0.556111772136924,0.118,0.017,1,"MEGLU4","Rps15a-ps3"
"Gm13905",0.00837925569168542,0.554451820724281,0.118,0.017,1,"MEGLU4","Gm13905"
"Clec2h",0.00837925569168542,0.532689273190612,0.118,0.017,1,"MEGLU4","Clec2h"
"Gm46587",0.00837925569168542,0.512388123181698,0.118,0.017,1,"MEGLU4","Gm46587"
"Gm50151",0.00837925569168542,0.490233840313766,0.118,0.017,1,"MEGLU4","Gm50151"
"Gm48780",0.00837925569168542,0.482548164911333,0.118,0.017,1,"MEGLU4","Gm48780"
"Celsr3",0.0083964581394319,0.856969535191812,0.529,0.254,1,"MEGLU4","Celsr3"
"Trit1",0.00840120231846594,0.849157495526982,0.529,0.263,1,"MEGLU4","Trit1"
"Nckap5l",0.00840491373029617,0.740865795027656,0.588,0.305,1,"MEGLU4","Nckap5l"
"Gm32856",0.00841624213422395,0.706841255014889,0.294,0.093,1,"MEGLU4","Gm32856"
"Soga1",0.00843791531604905,0.658906151997345,0.647,0.326,1,"MEGLU4","Soga1"
"Flg",0.00848633712720988,0.868175693085907,0.176,0.038,1,"MEGLU4","Flg"
"Gm31938",0.00848633712720988,0.866489042339417,0.176,0.038,1,"MEGLU4","Gm31938"
"Pir",0.00850903297302704,0.672402042898906,0.529,0.263,1,"MEGLU4","Pir"
"Klhl3",0.00852394318913616,0.59575638121803,0.824,0.542,1,"MEGLU4","Klhl3"
"Kdm5b",0.00852671943676127,0.509671403539016,0.765,0.699,1,"MEGLU4","Kdm5b"
"Kiz",0.00856489163108867,0.699774726566729,0.706,0.415,1,"MEGLU4","Kiz"
"Ercc4",0.0086023465383439,0.814036704532533,0.588,0.314,1,"MEGLU4","Ercc4"
"Babam2",0.00862037894043532,0.559591819976052,0.941,0.716,1,"MEGLU4","Babam2"
"D930030I03Rik.1",0.00863083042172481,0.719973672402389,0.765,0.424,1,"MEGLU4","D930030I03Rik"
"Carmil3",0.00863626556892297,0.668103547889371,0.706,0.407,1,"MEGLU4","Carmil3"
