"","ref.p_val","ref.avg_log2FC","ref.pct.1","ref.pct.2","ref.p_val_adj","gene"
"Tspyl2",1.60071336837163e-20,0.259604812286104,0.46,0.321,2.41403583084125e-16,"Tspyl2"
"Fbxo2",1.60765275194306e-20,0.238356557245377,0.403,0.258,2.42450111520534e-16,"Fbxo2"
"Ppm1e",1.7623929986823e-20,-0.237769323927276,0.247,0.398,2.65786488131277e-16,"Ppm1e"
"Ap2a2",1.85104744028768e-20,0.248633513637556,0.504,0.362,2.79156464469785e-16,"Ap2a2"
"Kif5a",2.24763137644055e-20,0.260009272093301,0.718,0.586,3.38965287881e-16,"Kif5a"
"Ifngr2",2.88148417815792e-20,0.263119491432044,0.385,0.25,4.34556628907996e-16,"Ifngr2"
"Nipal3",2.97222276761923e-20,0.293049697497091,0.489,0.353,4.48240915584656e-16,"Nipal3"
"Smim14",3.37512341596951e-20,0.271037406865595,0.582,0.447,5.09002362362362e-16,"Smim14"
"Gpm6a",3.67127694046609e-20,0.309598759021885,0.888,0.831,5.53665275391692e-16,"Gpm6a"
"Reps2",3.96181503355806e-20,-0.273171237471871,0.278,0.421,5.97481325210891e-16,"Reps2"
"mt-Nd5",4.23546668921895e-20,0.278164400404447,0.657,0.529,6.3875073140111e-16,"mt-Nd5"
"Sult4a1",4.30987283426185e-20,0.248055153279458,0.757,0.625,6.4997192213503e-16,"Sult4a1"
"Rnf112",4.91218304505574e-20,0.208834371686911,0.284,0.159,7.40806325024856e-16,"Rnf112"
"Msi2",5.05064762706387e-20,-0.224383547388227,0.217,0.36,7.61688168637502e-16,"Msi2"
"Fkbp2",5.07145578976058e-20,0.232824345723649,0.846,0.74,7.64826247653793e-16,"Fkbp2"
"Tln2",5.64830899915113e-20,-0.245694281474499,0.261,0.403,8.51821480161983e-16,"Tln2"
"Mbnl1",5.93135227683881e-20,0.208985286622525,0.334,0.201,8.94507236870061e-16,"Mbnl1"
"Polr3k",7.52369967739921e-20,0.212985562958959,0.365,0.229,1.13464914834858e-15,"Polr3k"
"Ociad1",8.34480919187353e-20,0.251895289215756,0.767,0.639,1.25848067422645e-15,"Ociad1"
"Agap3",1.10748332569787e-19,0.281147193850119,0.51,0.375,1.67019560348496e-15,"Agap3"
"Ptprd",1.14663158651655e-19,0.327796310383249,0.531,0.403,1.72923509562561e-15,"Ptprd"
"Spcs1",1.34941220633477e-19,0.275093070522103,0.647,0.509,2.03504854837346e-15,"Spcs1"
"Rps2",1.4013826381902e-19,0.310297690049377,0.929,0.895,2.11342515665464e-15,"Rps2"
"Akap11",1.40488523990674e-19,0.294961457150014,0.647,0.534,2.11870743030335e-15,"Akap11"
"Mapk8ip3",1.63522946636977e-19,0.247164703019258,0.579,0.441,2.46608955823225e-15,"Mapk8ip3"
