"","PatchSeq.p_val","PatchSeq.avg_log2FC","PatchSeq.pct.1","PatchSeq.pct.2","PatchSeq.p_val_adj","gene"
"Epb41l4aos",0.0174407592979151,0.550470962707361,0.316,0.191,1,"Epb41l4aos"
"Zfp740",0.0174408661973395,0.380241262025528,0.487,0.338,1,"Zfp740"
"Manf",0.0174461218350679,0.288686141776769,0.778,0.64,1,"Manf"
"Sbds",0.0174480648023225,0.237650398755882,0.769,0.691,1,"Sbds"
"Sympk",0.0174628469932579,0.318445929913153,0.632,0.485,1,"Sympk"
"1500015L24Rik",0.0174714343349825,0.27129344385301,0.179,0.081,1,"1500015L24Rik"
"Rgmb",0.017478841591031,0.300686961108879,0.692,0.581,1,"Rgmb"
"Stum",0.017495222620172,0.344531893682066,0.402,0.257,1,"Stum"
"Hsf4",0.0175223106621421,0.413253227813411,0.376,0.228,1,"Hsf4"
"Zfp977",0.0175428391198047,0.388133644469167,0.128,0.044,1,"Zfp977"
"Cdr2",0.0175700386103803,0.361635652566581,0.376,0.235,1,"Cdr2"
"Gm37478",0.0176518951996267,0.554507659502074,0.154,0.066,1,"Gm37478"
"Arl13b",0.0177308346643125,0.353667793194621,0.419,0.272,1,"Arl13b"
"Smg5",0.0177357219826016,0.301485095768325,0.607,0.463,1,"Smg5"
"Gm44830",0.0177421841420262,0.445568767238367,0.385,0.243,1,"Gm44830"
"Gm5883",0.0177723300537025,0.370193962318383,0.137,0.051,1,"Gm5883"
"Map3k12",0.0178337449841358,0.360675731467406,0.581,0.471,1,"Map3k12"
"Zscan21",0.0178633655890645,0.439138753353893,0.316,0.184,1,"Zscan21"
"Gm49121",0.0178768361757356,0.484997813330299,0.111,0.037,1,"Gm49121"
"Kcnj12",0.017896197796928,0.422578669805614,0.308,0.184,1,"Kcnj12"
"Arhgef33",0.0179009528408374,0.367144387140454,0.521,0.375,1,"Arhgef33"
"Tubd1",0.0179326524819323,0.268727365070918,0.701,0.566,1,"Tubd1"
"Bicdl1",0.0179893468309687,0.327769435824863,0.607,0.471,1,"Bicdl1"
"Gm17135",0.017994684769639,0.408971594654066,0.256,0.14,1,"Gm17135"
"Alk",0.0180100711519049,0.273851685346961,0.897,0.86,1,"Alk"
"Dalrd3",0.0180156784937469,0.256141988753182,0.718,0.603,1,"Dalrd3"
"Gm50431",0.0180776222439518,-0.458920696334308,0.043,0.125,1,"Gm50431"
"4930520O04Rik",0.0181072809067956,0.450675816556411,0.137,0.051,1,"4930520O04Rik"
"Gm43191",0.0181666588784485,0.368865830759199,0.453,0.324,1,"Gm43191"
"Prxl2b",0.0181810666578971,0.281962940175176,0.761,0.632,1,"Prxl2b"
"Sec61a2",0.0182096707969364,0.360622890714019,0.538,0.412,1,"Sec61a2"
"Vta1",0.0182135141004481,0.319745003841416,0.641,0.522,1,"Vta1"
"2310043O21Rik",0.0182768200206093,0.301240978588979,0.137,0.051,1,"2310043O21Rik"
"CN725425",0.0182895858498282,0.495344271074291,0.162,0.074,1,"CN725425"
"Pcdh8",0.0182905798176915,0.423111916761601,0.385,0.257,1,"Pcdh8"
"Gm20476",0.0183154307963459,0.474567991507369,0.342,0.213,1,"Gm20476"
"Fam78b",0.0183213859319661,0.385653074561034,0.496,0.368,1,"Fam78b"
"Gm4459",0.0183341008480209,0.415136686335388,0.188,0.088,1,"Gm4459"
"Cisd1",0.0183583815710967,0.232400560815321,0.923,0.794,1,"Cisd1"
"Lrrc1",0.0183915598398097,-0.372205251167601,0.256,0.39,1,"Lrrc1"
"Rfxap",0.0184308972945886,0.379426927885706,0.513,0.375,1,"Rfxap"
"Serpine2",0.018479284529845,0.291372528735518,0.675,0.493,1,"Serpine2"
"Rfx2",0.0184929162480537,0.325966178208135,0.231,0.118,1,"Rfx2"
"Ddx18",0.0184975848569193,0.392742989758542,0.402,0.243,1,"Ddx18"
"Ap3b1",0.0185120616329861,0.316228746481485,0.701,0.647,1,"Ap3b1"
"Gm9962",0.0185151870484406,0.387945025213925,0.53,0.39,1,"Gm9962"
"Troap",0.0185404137178564,0.283876599281273,0.103,0.029,1,"Troap"
"Synpo2",0.0186100052211067,0.407141087097439,0.402,0.279,1,"Synpo2"
"Gabra5",0.018619579370017,0.388142277795311,0.513,0.412,1,"Gabra5"
"B430010I23Rik",0.0186200719507454,0.475695567506044,0.137,0.051,1,"B430010I23Rik"
"Txndc17",0.0186421352337932,0.386809721798052,0.598,0.441,1,"Txndc17"
"D030056L22Rik",0.0186729792692703,0.427184714956692,0.376,0.25,1,"D030056L22Rik"
"Pld6",0.0187207465310792,0.423757377926286,0.145,0.059,1,"Pld6"
"Gm4948",0.0187220733130192,0.324957724597628,0.564,0.382,1,"Gm4948"
"Aldh1a2",0.018735682143176,0.424804570651862,0.239,0.132,1,"Aldh1a2"
"Pradc1",0.018735682143176,0.567957953610379,0.239,0.132,1,"Pradc1"
"Zbtb10",0.018735682143176,0.277648054252306,0.248,0.125,1,"Zbtb10"
"Map9",0.0187745246283756,0.268277353576521,0.752,0.684,1,"Map9"
"Sfta3-ps",0.0187775119713814,0.216986511261998,0.128,0.044,1,"Sfta3-ps"
"4921524L21Rik",0.018793803426012,0.283118441730301,0.137,0.051,1,"4921524L21Rik"
"Kcnj6",0.0188730840813578,0.336419864226238,0.641,0.544,1,"Kcnj6"
"Emc10",0.0188754345212177,0.230167601168916,0.795,0.691,1,"Emc10"
"Zic3",0.0189599594196118,0.296329842322403,0.128,0.044,1,"Zic3"
"C2cd3",0.0189758010358357,0.283112307409898,0.453,0.301,1,"C2cd3"
"Rnf216",0.0190399433974241,0.259874462246842,0.803,0.64,1,"Rnf216"
"Ube2h",0.0190402089854501,0.233357972247997,0.821,0.765,1,"Ube2h"
"Gm15726",0.0191412687889377,0.423614656296305,0.162,0.066,1,"Gm15726"
"Gm12969",0.0191439550875118,0.265051128801334,0.128,0.044,1,"Gm12969"
"Ttc16",0.019145585545976,0.527774595993595,0.299,0.176,1,"Ttc16"
"Gm43376",0.0191605908667606,0.285248402842207,0.103,0.029,1,"Gm43376"
"Ube2s",0.0191922050213613,0.287909794800932,0.684,0.507,1,"Ube2s"
"Cibar1",0.0192881947773325,0.236397119592898,0.735,0.632,1,"Cibar1"
"Gm4756",0.0193743441056078,0.319560242746776,0.487,0.346,1,"Gm4756"
"Gm9292",0.0194273188279915,0.404160062687576,0.111,0.037,1,"Gm9292"
"Ubqln1",0.0194289688165798,0.215851766952881,0.915,0.772,1,"Ubqln1"
